"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"mph(A)",100,"906/906",100,"1..906","JBICCP010000068.1 Escherichia coli strain 50720 contig00068, whole genome shotgun sequence","180..1085","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045950435.1"
"mef(C)",99.92,"1224/1224",100,"1..1224","JBICCP010000082.1 Escherichia coli strain 50720 contig00082, whole genome shotgun sequence","1038..2261","Erythromycin","AB571865","GCA_045950435.1"
"mph(G)",100,"885/885",100,"1..885","JBICCP010000082.1 Escherichia coli strain 50720 contig00082, whole genome shotgun sequence","149..1033","Erythromycin","AB571865","GCA_045950435.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICCP010000073.1 Escherichia coli strain 50720 contig00073, whole genome shotgun sequence","1008..2222","Chloramphenicol,Florfenicol","CP136914","GCA_045950435.1"
"sul1",100,"840/840",100,"1..840","JBICCP010000045.1 Escherichia coli strain 50720 contig00045, whole genome shotgun sequence","462..1301","Sulfamethoxazole","U12338","GCA_045950435.1"
"sul3",100,"792/792",100,"1..792","JBICCP010000057.1 Escherichia coli strain 50720 contig00057, whole genome shotgun sequence","2132..2923","Sulfamethoxazole","AJ459418","GCA_045950435.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICCP010000045.1 Escherichia coli strain 50720 contig00045, whole genome shotgun sequence","20583..21782","Doxycycline, Tetracycline","AJ517790","GCA_045950435.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICCP010000074.1 Escherichia coli strain 50720 contig00074, whole genome shotgun sequence","354..2273","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045950435.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCP010000095.1 Escherichia coli strain 50720 contig00095, whole genome shotgun sequence","229..702","Trimethoprim","AF203818","GCA_045950435.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCP010000095.1 Escherichia coli strain 50720 contig00095, whole genome shotgun sequence","229..702","Trimethoprim","AJ238350","GCA_045950435.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCP010000095.1 Escherichia coli strain 50720 contig00095, whole genome shotgun sequence","229..702","Trimethoprim","X00926","GCA_045950435.1"
"bleO",99.74,"392/399",98.2456140350877,"8..399","JBICCP010000056.1 Escherichia coli strain 50720 contig00056, whole genome shotgun sequence","7650..8041","Bleomycin","AF051917","GCA_045950435.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICCQ010000077.1 Escherichia coli strain 50719 contig00077, whole genome shotgun sequence","121..981","Gentamicin, Tobramycin, Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","X51534","GCA_045950445.1"
"aadA2b",99.87,"780/780",100,"1..780","JBICCQ010000094.1 Escherichia coli strain 50719 contig00094, whole genome shotgun sequence","1715..2494","Spectinomycin, Streptomycin","D43625","GCA_045950445.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCQ010000137.1 Escherichia coli strain 50719 contig00137, whole genome shotgun sequence","836..1672","Streptomycin","M28829","GCA_045950445.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCQ010000137.1 Escherichia coli strain 50719 contig00137, whole genome shotgun sequence","34..836","Streptomycin","AF024602","GCA_045950445.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCQ010000137.1 Escherichia coli strain 50719 contig00137, whole genome shotgun sequence","33..836","Streptomycin","AF321551","GCA_045950445.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCQ010000137.1 Escherichia coli strain 50719 contig00137, whole genome shotgun sequence","33..836","Streptomycin","AF313472","GCA_045950445.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCQ010000137.1 Escherichia coli strain 50719 contig00137, whole genome shotgun sequence","33..836","Streptomycin","AF321550","GCA_045950445.1"
"aph(3')-Ia",99.75,"816/816",100,"1..816","JBICCQ010000181.1 Escherichia coli strain 50719 contig00181, whole genome shotgun sequence","76..891","Kanamycin, Neomycin, Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","EF015636","GCA_045950445.1"
"aadA1",99.87,"792/792",100,"1..792","JBICCQ010000187.1 Escherichia coli strain 50719 contig00187, whole genome shotgun sequence","11..802","Spectinomycin, Streptomycin","JX185132","GCA_045950445.1"
"aadA1",99.87,"792/792",100,"1..792","JBICCQ010000187.1 Escherichia coli strain 50719 contig00187, whole genome shotgun sequence","11..802","Spectinomycin, Streptomycin","JQ414041","GCA_045950445.1"
"blaCTX-M-15",100,"876/876",100,"1..876","JBICCQ010000096.1 Escherichia coli strain 50719 contig00096, whole genome shotgun sequence","503..1378","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AY044436","GCA_045950445.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICCQ010000167.1 Escherichia coli strain 50719 contig00167, whole genome shotgun sequence","177..1037","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045950445.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCQ010000052.1 Escherichia coli strain 50719 contig00052, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045950445.1"
"catA1",99.62,"524/660",79.3939393939394,"137..660","JBICCQ010000085.1 Escherichia coli strain 50719 contig00085, whole genome shotgun sequence","4590..5113","Chloramphenicol","V00622","GCA_045950445.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICCQ010000094.1 Escherichia coli strain 50719 contig00094, whole genome shotgun sequence","194..1453","Chloramphenicol","M64556","GCA_045950445.1"
"sul1",100,"840/840",100,"1..840","JBICCQ010000087.1 Escherichia coli strain 50719 contig00087, whole genome shotgun sequence","553..1392","Sulfamethoxazole","U12338","GCA_045950445.1"
"sul3",100,"792/792",100,"1..792","JBICCQ010000092.1 Escherichia coli strain 50719 contig00092, whole genome shotgun sequence","1730..2521","Sulfamethoxazole","AJ459418","GCA_045950445.1"
"sul2",100,"816/816",100,"1..816","JBICCQ010000108.1 Escherichia coli strain 50719 contig00108, whole genome shotgun sequence","140..955","Sulfamethoxazole","HQ840942","GCA_045950445.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICCQ010000091.1 Escherichia coli strain 50719 contig00091, whole genome shotgun sequence","1895..3094","Doxycycline, Tetracycline","AJ517790","GCA_045950445.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCQ010000184.1 Escherichia coli strain 50719 contig00184, whole genome shotgun sequence","229..702","Trimethoprim","AF203818","GCA_045950445.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCQ010000184.1 Escherichia coli strain 50719 contig00184, whole genome shotgun sequence","229..702","Trimethoprim","AJ238350","GCA_045950445.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCQ010000184.1 Escherichia coli strain 50719 contig00184, whole genome shotgun sequence","229..702","Trimethoprim","X00926","GCA_045950445.1"
"aadA1",100,"792/792",100,"1..792","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","10105..10896","Spectinomycin, Streptomycin","JX185132","GCA_045950725.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCT010000059.1 Escherichia coli strain 50513 contig00059, whole genome shotgun sequence","217..1053","Streptomycin","M28829","GCA_045950725.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICCT010000059.1 Escherichia coli strain 50513 contig00059, whole genome shotgun sequence","1053..1856","Streptomycin","AF321551","GCA_045950725.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICCT010000092.1 Escherichia coli strain 50513 contig00092, whole genome shotgun sequence","105..920","Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside, Kanamycin","V00359","GCA_045950725.1"
"blaTEM-1A",100,"861/861",100,"1..861","JBICCT010000060.1 Escherichia coli strain 50513 contig00060, whole genome shotgun sequence","259..1119","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","HM749966","GCA_045950725.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCT010000054.1 Escherichia coli strain 50513 contig00054, whole genome shotgun sequence","1025..2650","Colistin","KP347127","GCA_045950725.1"
"mph(B)",100,"909/909",100,"1..909","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","121..1029","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045950725.1"
"sul1",100,"840/840",100,"1..840","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","8761..9600","Sulfamethoxazole","U12338","GCA_045950725.1"
"sul2",99.88,"816/816",100,"1..816","JBICCT010000059.1 Escherichia coli strain 50513 contig00059, whole genome shotgun sequence","1917..2732","Sulfamethoxazole","HQ840942","GCA_045950725.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICCT010000043.1 Escherichia coli strain 50513 contig00043, whole genome shotgun sequence","16272..17471","Doxycycline, Tetracycline","AJ517790","GCA_045950725.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICCT010000069.1 Escherichia coli strain 50513 contig00069, whole genome shotgun sequence","354..2273","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045950725.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","10989..11462","Trimethoprim","AF203818","GCA_045950725.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","10989..11462","Trimethoprim","AJ238350","GCA_045950725.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCT010000051.1 Escherichia coli strain 50513 contig00051, whole genome shotgun sequence","10989..11462","Trimethoprim","X00926","GCA_045950725.1"
"aadA1",100,"792/792",100,"1..792","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","795..1586","Spectinomycin, Streptomycin","JQ414041","GCA_045950735.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCU010000096.1 Escherichia coli strain 50511 contig00096, whole genome shotgun sequence","107..943","Streptomycin","M28829","GCA_045950735.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCU010000096.1 Escherichia coli strain 50511 contig00096, whole genome shotgun sequence","943..1745","Streptomycin","AF024602","GCA_045950735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCU010000096.1 Escherichia coli strain 50511 contig00096, whole genome shotgun sequence","943..1746","Streptomycin","AF321551","GCA_045950735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCU010000096.1 Escherichia coli strain 50511 contig00096, whole genome shotgun sequence","943..1746","Streptomycin","AF313472","GCA_045950735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCU010000096.1 Escherichia coli strain 50511 contig00096, whole genome shotgun sequence","943..1746","Streptomycin","AF321550","GCA_045950735.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICCU010000118.1 Escherichia coli strain 50511 contig00118, whole genome shotgun sequence","248..1063","Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside","V00359","GCA_045950735.1"
"blaTEM-1B",99.88,"861/861",100,"1..861","JBICCU010000113.1 Escherichia coli strain 50511 contig00113, whole genome shotgun sequence","291..1151","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045950735.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCU010000037.1 Escherichia coli strain 50511 contig00037, whole genome shotgun sequence","42198..43823","Colistin","KP347127","GCA_045950735.1"
"mph(B)",100,"909/909",100,"1..909","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","10662..11570","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045950735.1"
"sul1",100,"840/840",100,"1..840","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","2091..2930","Sulfamethoxazole","U12338","GCA_045950735.1"
"sul3",100,"792/792",100,"1..792","JBICCU010000085.1 Escherichia coli strain 50511 contig00085, whole genome shotgun sequence","2189..2980","Sulfamethoxazole","AJ459418","GCA_045950735.1"
"tet(A)",99.83,"1200/1200",100,"1..1200","JBICCU010000084.1 Escherichia coli strain 50511 contig00084, whole genome shotgun sequence","1955..3154","Doxycycline, Tetracycline","AJ517790","GCA_045950735.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICCU010000093.1 Escherichia coli strain 50511 contig00093, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045950735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","229..702","Trimethoprim","AF203818","GCA_045950735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","229..702","Trimethoprim","AJ238350","GCA_045950735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCU010000070.1 Escherichia coli strain 50511 contig00070, whole genome shotgun sequence","229..702","Trimethoprim","X00926","GCA_045950735.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","179252..180043","Spectinomycin, Streptomycin","JX185132","GCA_045950845.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","179252..180043","Spectinomycin, Streptomycin","JQ414041","GCA_045950845.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","5478..6314","Streptomycin","M28829","GCA_045950845.1"
"aph(3')-Ia",99.88,"816/816",100,"1..816","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","4327..5142","Unknown Aminoglycoside, Kanamycin, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","EF015636","GCA_045950845.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","6314..7116","Streptomycin","AF024602","GCA_045950845.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","6314..7117","Streptomycin","AF321551","GCA_045950845.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","6314..7117","Streptomycin","AF313472","GCA_045950845.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCS010000058.1 Escherichia coli strain 50514 contig00058, whole genome shotgun sequence","6314..7117","Streptomycin","AF321550","GCA_045950845.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","180156..180986","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045950845.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","151947..153572","Colistin","KP347127","GCA_045950845.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","186988..188202","Chloramphenicol,Florfenicol","CP136914","GCA_045950845.1"
"sul1",100,"840/840",100,"1..840","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","177908..178747","Sulfamethoxazole","U12338","GCA_045950845.1"
"sul2",100,"816/816",100,"1..816","JBICCS010000111.1 Escherichia coli strain 50514 contig00111, whole genome shotgun sequence","38..853","Sulfamethoxazole","AY034138","GCA_045950845.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICCS010000051.1 Escherichia coli strain 50514 contig00051, whole genome shotgun sequence","4337..5542","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045950845.1"
"dfrA36",100,"588/588",100,"1..588","JBICCS010000007.1 Escherichia coli strain 50514 contig00007, whole genome shotgun sequence","191415..192002","Trimethoprim","CP038791","GCA_045950845.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","12410..13201","Spectinomycin, Streptomycin","JX185132","GCA_045950865.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","12410..13201","Spectinomycin, Streptomycin","JQ414041","GCA_045950865.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","5478..6314","Streptomycin","M28829","GCA_045950865.1"
"aph(3')-Ia",99.88,"816/816",100,"1..816","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","4327..5142","Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin","EF015636","GCA_045950865.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","6314..7116","Streptomycin","AF024602","GCA_045950865.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","6314..7117","Streptomycin","AF321551","GCA_045950865.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","6314..7117","Streptomycin","AF313472","GCA_045950865.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICCR010000061.1 Escherichia coli strain 50516 contig00061, whole genome shotgun sequence","6314..7117","Streptomycin","AF321550","GCA_045950865.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","11467..12297","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045950865.1"
"blaTEM-33",100,"861/861",100,"1..861","JBICCR010000077.1 Escherichia coli strain 50516 contig00077, whole genome shotgun sequence","2422..3282","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","GU371926","GCA_045950865.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","38881..40506","Colistin","KP347127","GCA_045950865.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","4251..5465","Chloramphenicol,Florfenicol","CP136914","GCA_045950865.1"
"sul1",100,"840/840",100,"1..840","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","13706..14545","Sulfamethoxazole","U12338","GCA_045950865.1"
"sul2",100,"816/816",100,"1..816","JBICCR010000123.1 Escherichia coli strain 50516 contig00123, whole genome shotgun sequence","11..826","Sulfamethoxazole","AY034138","GCA_045950865.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICCR010000054.1 Escherichia coli strain 50516 contig00054, whole genome shotgun sequence","4336..5541","Doxycycline, Tetracycline, Minocycline","AP000342","GCA_045950865.1"
"dfrA36",100,"588/588",100,"1..588","JBICCR010000007.1 Escherichia coli strain 50516 contig00007, whole genome shotgun sequence","451..1038","Trimethoprim","CP038791","GCA_045950865.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","6515..7306","Spectinomycin, Streptomycin","JX185132","GCA_045951005.1"
"aadA1",99.75,"792/792",100,"1..792","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","6515..7306","Spectinomycin, Streptomycin","JQ414041","GCA_045951005.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICCW010000073.1 Escherichia coli strain 50507 contig00073, whole genome shotgun sequence","120..956","Streptomycin","M28829","GCA_045951005.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICCW010000073.1 Escherichia coli strain 50507 contig00073, whole genome shotgun sequence","956..1759","Streptomycin","AF321551","GCA_045951005.1"
"aph(3')-Ia",100,"814/816",99.7549019607843,"1..814","JBICCW010000107.1 Escherichia coli strain 50507 contig00107, whole genome shotgun sequence","1..814","Kanamycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","X62115","GCA_045951005.1"
"blaTEM-190",100,"716/861",83.1591173054588,"1..716","JBICCW010000101.1 Escherichia coli strain 50507 contig00101, whole genome shotgun sequence","369..1084","Unknown Beta-lactam","JN416112","GCA_045951005.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCW010000087.1 Escherichia coli strain 50507 contig00087, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045951005.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICCW010000061.1 Escherichia coli strain 50507 contig00061, whole genome shotgun sequence","3947..5161","Chloramphenicol,Florfenicol","CP136914","GCA_045951005.1"
"catA1",99.85,"660/660",100,"1..660","JBICCW010000071.1 Escherichia coli strain 50507 contig00071, whole genome shotgun sequence","3657..4316","Chloramphenicol","V00622","GCA_045951005.1"
"sul1",100,"840/840",100,"1..840","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","5171..6010","Sulfamethoxazole","U12338","GCA_045951005.1"
"sul2",100,"816/816",100,"1..816","JBICCW010000073.1 Escherichia coli strain 50507 contig00073, whole genome shotgun sequence","1820..2635","Sulfamethoxazole","HQ840942","GCA_045951005.1"
"tet(Y)",100,"1162/1176",98.8095238095238,"1..1162","JBICCW010000061.1 Escherichia coli strain 50507 contig00061, whole genome shotgun sequence","6916..8077","Doxycycline, Tetracycline","EF495198","GCA_045951005.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICCW010000079.1 Escherichia coli strain 50507 contig00079, whole genome shotgun sequence","902..2101","Doxycycline, Tetracycline","AJ517790","GCA_045951005.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","7399..7872","Trimethoprim","AF203818","GCA_045951005.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","7399..7872","Trimethoprim","AJ238350","GCA_045951005.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICCW010000053.1 Escherichia coli strain 50507 contig00053, whole genome shotgun sequence","7399..7872","Trimethoprim","X00926","GCA_045951005.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICCY010000098.1 Escherichia coli strain 50504 contig00098, whole genome shotgun sequence","852..1655","Streptomycin","AF321551","GCA_045951145.1"
"aph(6)-Id",100,"741/837",88.5304659498208,"1..741","JBICCY010000098.1 Escherichia coli strain 50504 contig00098, whole genome shotgun sequence","112..852","Streptomycin","AF024602","GCA_045951145.1"
"aph(6)-Id",100,"741/837",88.5304659498208,"1..741","JBICCY010000098.1 Escherichia coli strain 50504 contig00098, whole genome shotgun sequence","112..852","Streptomycin","M28829","GCA_045951145.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICCY010000153.1 Escherichia coli strain 50504 contig00153, whole genome shotgun sequence","249..1064","Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Kanamycin, Neomycin","V00359","GCA_045951145.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICCY010000126.1 Escherichia coli strain 50504 contig00126, whole genome shotgun sequence","646..1506","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045951145.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICCY010000119.1 Escherichia coli strain 50504 contig00119, whole genome shotgun sequence","296..1921","Colistin","KP347127","GCA_045951145.1"
"sul2",100,"816/816",100,"1..816","JBICCY010000098.1 Escherichia coli strain 50504 contig00098, whole genome shotgun sequence","1716..2531","Sulfamethoxazole","HQ840942","GCA_045951145.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICCY010000032.1 Escherichia coli strain 50504 contig00032, whole genome shotgun sequence","38106..39305","Doxycycline, Tetracycline","AJ517790","GCA_045951145.1"
